,business_status,geometry,icon,id,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,LocationID,permanently_closed,price_level
0,OPERATIONAL,"{'location': {'lat': 25.789825, 'lng': -80.34106039999999}, 'viewport': {'northeast': {'lat': 25.79101632989272, 'lng': -80.33970637010727}, 'southwest': {'lat': 25.78831667010728, 'lng': -80.34240602989271}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,d26500352d9e4938f9bdb193c33430c436b3bf20,CBS News,{'open_now': True},"[{'height': 5312, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105034968250965965842"">Ray Corona</a>'], 'photo_reference': 'CmRaAAAAAR3342edzLUQoPAnxoQMnvEHhQQawEg-OtV_0AHGOAalmWQc8gISQ9lh4FHSLmGUJaemwdOab0QiGrKBiCvUPEGLEZZaBgO6LR-ROHdhUeK7OdUteRdTmuAIoAXjd2TVEhATagc9KQEkBiTjXu1aafLAGhTFgiWsrnimShMgI-bDiH9XFhrT1g', 'width': 2988}]",ChIJdSOoKRW52YgRI4nsuySGEhE,"{'compound_code': 'QMQ5+WH Doral, Florida', 'global_code': '76QXQMQ5+WH'}",4.3,ChIJdSOoKRW52YgRI4nsuySGEhE,GOOGLE,"['point_of_interest', 'establishment']",30.0,"8900 NW 18th Terrace, Doral",CBS Corporation 2018-4399-1697081,,
1,OPERATIONAL,"{'location': {'lat': 37.7862722, 'lng': -122.3973167}, 'viewport': {'northeast': {'lat': 37.78754082989272, 'lng': -122.3960043201073}, 'southwest': {'lat': 37.78484117010728, 'lng': -122.3987039798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,9453ca66fd723a20104fa93387f4f5e6e95cf256,CBS Interactive,,"[{'height': 1512, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104503129662662673597"">Brandon Harrington</a>'], 'photo_reference': 'CmRaAAAAsumXg51whvIfUtfRjI7lLEhqgfs-EiSxJSrzCqt-90YEWn7MeJStC7SKiSkR0OpFZpvlEGbW5Pvxbb_RG4Iep4AaZkCw6hAwbl13ZznddaSmh0EzMHp56ajIo8msbVVzEhAcdX2hazCTm_0R5l3Zt-9QGhQAin9ktDU4hN0iag1PiH_NgcKXew', 'width': 2688}]",ChIJSaVK9XyAhYAR-Aw6p4s1FoE,"{'compound_code': 'QJP3+G3 SoMa, San Francisco, CA', 'global_code': '849VQJP3+G3'}",4.4,ChIJSaVK9XyAhYAR-Aw6p4s1FoE,GOOGLE,"['point_of_interest', 'establishment']",49.0,"235 2nd St, San Francisco",CBS Corporation 2018-4399-1697216,,
2,OPERATIONAL,"{'location': {'lat': 37.799158, 'lng': -122.4014031}, 'viewport': {'northeast': {'lat': 37.80057237989272, 'lng': -122.3999578701072}, 'southwest': {'lat': 37.79787272010728, 'lng': -122.4026575298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,f528509304f4c01cd68e4e48e63a43a55de10aec,CBS News,,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113835259270710759463"">Scott Pittman</a>'], 'photo_reference': 'CmRaAAAAlXEDp7JhuQUg5Npd-vnNgr1GMxpwj5c5HTsQpbNCQab74c-5jqQFqazv3ngv5lt4zZf8Ahge5jpQ6e8srWvvOFHXeNHePLFq-BnDEzhmwXH4bm_NGXHu_G20GYpDYVPsEhA0f2w94B7lSYPT51E1-6O7GhR3W6uRCpyaJTXsy4Hm4L2xtixg8A', 'width': 4032}]",ChIJ9Xhjf1-AhYARPnt7dvbFKWo,"{'compound_code': 'QHXX+MC North Beach, San Francisco, CA', 'global_code': '849VQHXX+MC'}",4.2,ChIJ9Xhjf1-AhYARPnt7dvbFKWo,GOOGLE,"['point_of_interest', 'establishment']",5.0,"855 Battery St, San Francisco",CBS Corporation 2018-4399-1697032,,
3,OPERATIONAL,"{'location': {'lat': 37.7987702, 'lng': -122.4014969}, 'viewport': {'northeast': {'lat': 37.80014832989272, 'lng': -122.3999556701073}, 'southwest': {'lat': 37.79744867010727, 'lng': -122.4026553298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,7a53c182d845732024cefb1d6848daf70049164b,KPIX 5,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115183092671087030332"">Sean McQuay</a>'], 'photo_reference': 'CmRaAAAAOKsd70Q4BrBTlsGxXqorAz4fvBK-SsY6B66akJVZvo2oHcnjuDV9zAfH4SEvqRVLMiUwD_8mXvMKlWuKuJfi6nL8PdebhQW4ddF4pIa9B2A2MlZThmmL_TEjx3vSmfKuEhCgSXiLrfeNUW0EwORUbIqwGhSCaEbOUWII7O3wrXofrN_gRydPnQ', 'width': 3505}]",ChIJjYJjf1-AhYARYtlNI1XBdTI,"{'compound_code': 'QHXX+GC North Beach, San Francisco, CA', 'global_code': '849VQHXX+GC'}",3.8,ChIJjYJjf1-AhYARYtlNI1XBdTI,GOOGLE,"['point_of_interest', 'establishment']",36.0,"855 Battery St, San Francisco",CBS Corporation 2018-4399-1697032,,
4,OPERATIONAL,"{'location': {'lat': 37.8004372, 'lng': -122.3996044}, 'viewport': {'northeast': {'lat': 37.80174847989272, 'lng': -122.3985605201073}, 'southwest': {'lat': 37.79904882010727, 'lng': -122.4012601798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,,ABC7 KGO TV,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110391449249130367733"">Benjamin Bloom</a>'], 'photo_reference': 'CmRaAAAAfgZwFtfnjR1Xk7Fh3cPHsMzR9_gCdjHTUD2AvE5pro-CWf_XQYzk7sMZ5H59do43iT2HPMnpwPwxBpzuoeYOjrTW_WrJi57ywHJaLy5qTjsfK4HCL9Q_XWTl6vK1e3XqEhBEqUQSFlx8Fs_N1f9Av0agGhS6BtYNOWYqPveKnBzlYvRWM_1NDA', 'width': 4032}]",ChIJ_fAybV-AhYARZ8JHfbNkz9M,"{'compound_code': 'RJ22+55 North Beach, San Francisco, CA', 'global_code': '849VRJ22+55'}",3.7,ChIJ_fAybV-AhYARZ8JHfbNkz9M,GOOGLE,"['point_of_interest', 'establishment']",28.0,"900 Front St, San Francisco",CBS Corporation 2018-4399-1697032,,
5,OPERATIONAL,"{'location': {'lat': 37.799158, 'lng': -122.4014031}, 'viewport': {'northeast': {'lat': 37.80057237989272, 'lng': -122.3999578701072}, 'southwest': {'lat': 37.79787272010728, 'lng': -122.4026575298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,9bd83cf2576f1a845c7c13d2fb24a3d704c7bd9c,KBCW 44 CABLE 12,{'open_now': True},,ChIJRwJlf1-AhYARCSfEKsL8uLY,"{'compound_code': 'QHXX+MC North Beach, San Francisco, CA', 'global_code': '849VQHXX+MC'}",5.0,ChIJRwJlf1-AhYARCSfEKsL8uLY,GOOGLE,"['point_of_interest', 'establishment']",2.0,"855 Battery St, San Francisco",CBS Corporation 2018-4399-1697032,,
6,OPERATIONAL,"{'location': {'lat': 37.7991761, 'lng': -122.4013176}, 'viewport': {'northeast': {'lat': 37.80053427989272, 'lng': -122.3999050701073}, 'southwest': {'lat': 37.79783462010728, 'lng': -122.4026047298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,,KCBS All News 740AM,{'open_now': True},,ChIJZ1l4gPWAhYAR6WP0bEQOtXw,"{'compound_code': 'QHXX+MF North Beach, San Francisco, CA', 'global_code': '849VQHXX+MF'}",4.0,ChIJZ1l4gPWAhYAR6WP0bEQOtXw,GOOGLE,"['point_of_interest', 'establishment']",3.0,"865 Battery St, San Francisco",CBS Corporation 2018-4399-1697032,,
7,OPERATIONAL,"{'location': {'lat': 37.8002952, 'lng': -122.3991934}, 'viewport': {'northeast': {'lat': 37.80162307989272, 'lng': -122.3977401201073}, 'southwest': {'lat': 37.79892342010728, 'lng': -122.4004397798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,,KRON 4,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107602328530544278868"">Raymond Hamilton</a>'], 'photo_reference': 'CmRaAAAA3iITqsnHTqoEmRLpI8JKrtFrlDTn8JtvNVJ52WFmXoE57WyM_zWjH3hdfCyswH_rCd20btRnUJukzGTtIIXMFYzuY49Wa3156DbZ-7G90bohMEowcEqifpBeds-Ftqw2EhCalfbPfscDkQVQSCrSV4MFGhSzm8gZZb9QiVvituYO7HeQQ3Sn9w', 'width': 4032}]",ChIJ0Z9lZZaAhYARTbsMsZZD5Ws,"{'compound_code': 'RJ22+48 North Beach, San Francisco, CA', 'global_code': '849VRJ22+48'}",4.1,ChIJ0Z9lZZaAhYARTbsMsZZD5Ws,GOOGLE,"['point_of_interest', 'establishment']",34.0,"900 Front St 3rd floor, San Francisco",CBS Corporation 2018-4399-1697032,,
8,OPERATIONAL,"{'location': {'lat': 37.798597, 'lng': -122.4025986}, 'viewport': {'northeast': {'lat': 37.79984792989272, 'lng': -122.4012286701073}, 'southwest': {'lat': 37.79714827010727, 'lng': -122.4039283298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,11602168587d797e3505e1b33f20115ea1a49a5d,Sports Byline USA,,,ChIJi0SBdfWAhYAROmq7Ls01rZQ,"{'compound_code': 'QHXW+CX North Beach, San Francisco, CA', 'global_code': '849VQHXW+CX'}",0.0,ChIJi0SBdfWAhYAROmq7Ls01rZQ,GOOGLE,"['point_of_interest', 'establishment']",0.0,"300 Broadway # 8, San Francisco",CBS Corporation 2018-4399-1697032,,
9,OPERATIONAL,"{'location': {'lat': 37.7990324, 'lng': -122.4015267}, 'viewport': {'northeast': {'lat': 37.80050957989273, 'lng': -122.4000196701072}, 'southwest': {'lat': 37.79780992010728, 'lng': -122.4027193298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,,Entercom San Francisco,,,ChIJuxBFdtOBhYARqqEqHW-JOMc,"{'compound_code': 'QHXX+J9 North Beach, San Francisco, CA', 'global_code': '849VQHXX+J9'}",0.0,ChIJuxBFdtOBhYARqqEqHW-JOMc,GOOGLE,"['point_of_interest', 'establishment']",0.0,"865 Battery St, San Francisco",CBS Corporation 2018-4399-1697032,,
