,index,LocationName,Occupancy Code,Occupancy Class,name,types,Street,Area,City,Seems Right,Correction,Unnamed: 11,LocationID
0,79.0,The Allegro at Boynton Beach  L.L.C,305.0,Group Institutional Housing,"Allegro - Boynton Beach, FL","['health', 'point_of_interest', 'establishment']",11450 hagen ranch rd,FL,BOYNTON BEACH,True,,,PGIM Inc 2018-4420-1782431
1,185.0,Galveston Place,312.0,Retail Trade,Galveston Place,"['shopping_mall', 'point_of_interest', 'establishment']",2705 2815 61st street,TX,GALVESTON,True,,,Weingarten Realty Invest-4480-2079820
3,86.0,The Gardens of Port St. Lucie,305.0,Group Institutional Housing,The Gardens of Port St. Lucie,"['health', 'point_of_interest', 'establishment']",1699 s e lyngate drive,FL,PORT ST. LUCIE,True,,,Senior Housing Propertie-4526-2133578
4,289.0,International Marine Terminals,321.0,General Industrial,International Marine Terminals,"['point_of_interest', 'store', 'establishment']",18559 louisiana hwy 23,LA,PORT SULPHUR,False,354,,Kinder Morgan Inc 2019-4492-2092988
5,133.0,Surf Club Resort Main Tower,306.0,Apartments/Condominiums,The Surf Club of Marco Resort,"['lodging', 'point_of_interest', 'establishment']",540 south collier,FL,MARCO ISLAND,False,304,,Hilton Grand Vacations 2-4497-2095852
6,361.0,LA HABRA BAKERY,429.0,Food and Drug Processing - General,La Habra Bakery,"['food', 'point_of_interest', 'establishment']",s cypress street,CA,LA HABRA,True,,,Kroger Company 2019-4533-2149255
7,334.0,Comcast Cable Communications,365.0,Telephone and Telegraph,Comcast Service Center - Closed,"['point_of_interest', 'establishment']",141 nw 16th street,FL,POMPANO BEACH,True,,,Comcast Corporation 2019-4514-2127303
8,335.0,Comcast Cable Communications,365.0,Telephone and Telegraph,Earthlink Business,"['point_of_interest', 'establishment']",26100 bonita grande drive,FL,BONITA SPRINGS,True,,,Comcast Corporation 2019-4514-2127729
9,72.0,TRYP by Wyndham Miami Bay Harbor,304.0,Temporary Lodging,TRYP by Wyndham Miami Bay Harbor,"['lodging', 'point_of_interest', 'establishment']",9540 west bay harbor drive,FL,BAY HARBOR ISLANDS,True,,,Wyndham Hotels and Resor-4473-2004797
10,267.0,St. Joseph Hospital  Eureka,316.0,Health Care Services,St. Joseph Hospital Eureka,"['hospital', 'health', 'point_of_interest', 'establishment']",2700 dolbeer st,CA,EUREKA,True,,,Providence St Joseph Hea-4446-1823103
11,267.0,St. Joseph Hospital  Eureka,316.0,Health Care Services,St. Joseph Hospital Eureka,"['hospital', 'health', 'point_of_interest', 'establishment']",2700 dolbeer st,CA,EUREKA,True,,,Providence St Joseph Hea-4446-1823123
12,16.0,Harrah's Gulf Coast,304.0,Temporary Lodging,Harrah's Gulf Coast,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",280 beach blvd,MS,BILOXI,True,,,Caesars Entertainment Co-4417-1715724
13,14.0,West Palm Embassy,304.0,Temporary Lodging,Embassy Suites by Hilton Palm Beach Gardens PGA Boulevard,"['lodging', 'point_of_interest', 'establishment']",4350 pga boulevard,FL,PALM BEACH GARDENS,True,,,Ashford Hospitality Trus-4515-2130902
14,65.0,Boomtown Harvey Hotel,304.0,Temporary Lodging,Boomtown Casino & Hotel New Orleans,"['casino', 'point_of_interest', 'establishment']",4132 peters rd,LA,HARVEY,True,,,Penn National Gaming 201-4422-1782796
15,243.0,55 Second Street-Tower,315.0,"Professional, Technical, and Business Services",KPMG Building,['premise'],55 2nd st,CA,SAN FRANCISCO,True,,,Teachers Insurance and A-4448-1824933
16,352.0,Commercial Metals Company,401.0,Heavy Fabrication and Assembly - General,CMC Rebar,"['point_of_interest', 'establishment']",2025 tigertail boulevard,FL,DANIA BEACH,True,,,Commercial Metals Compan-4517-2131172
17,0.0,CBS TV Stations,300.0,Unknown,CBS News,"['point_of_interest', 'establishment']",8900 nw 18th terrace,FL,MIAMI,True,,,CBS Corporation 2018-4399-1697081
18,0.0,CBS TV Stations,300.0,Unknown,CBS News,"['point_of_interest', 'establishment']",8900 nw 18th terrace,FL,MIAMI,True,,,CBS Corporation 2018-4399-1697070
