,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
590453,181852,2020-04-01,2022-07-01,74.954,70.5658,72.7812,70.0986,Monthly,OTC Global Holdings,4
590454,181853,2020-04-01,2022-08-01,123.0866,119.8039,121.2329,117.3992,Monthly,OTC Global Holdings,4
590455,181854,2020-04-01,2022-09-01,38.118,34.9025,35.4497,34.5184,Monthly,OTC Global Holdings,4
590456,181855,2020-04-01,2022-10-01,26.9808,21.9879,23.8661,23.2121,Monthly,OTC Global Holdings,4
590457,181856,2020-04-01,2022-11-01,24.5694,19.6086,21.4762,20.8836,Monthly,OTC Global Holdings,4
590458,181857,2020-04-01,2022-12-01,25.0544,20.0873,21.9329,21.3544,Monthly,OTC Global Holdings,4
590459,181858,2020-04-01,2023-01-01,29.1129,28.6381,28.9399,28.3914,Monthly,OTC Global Holdings,4
590460,181859,2020-04-01,2023-02-01,28.7002,28.3383,28.7016,28.1151,Monthly,OTC Global Holdings,4
590461,181860,2020-04-01,2023-03-01,25.6478,19.2986,23.7688,22.3852,Monthly,OTC Global Holdings,4
590462,181861,2020-04-01,2023-04-01,23.0839,16.4597,21.3457,19.7709,Monthly,OTC Global Holdings,4
590463,181862,2020-04-01,2023-05-01,25.2711,20.0744,24.0614,22.5266,Monthly,OTC Global Holdings,4
590464,181863,2020-04-01,2023-06-01,36.8264,33.3071,34.308,33.3576,Monthly,OTC Global Holdings,4
590465,181864,2020-04-01,2023-07-01,72.3338,70.6732,68.7009,66.3245,Monthly,OTC Global Holdings,4
590466,181865,2020-04-01,2023-08-01,92.7636,92.2139,88.6894,86.155,Monthly,OTC Global Holdings,4
590467,181866,2020-04-01,2023-09-01,36.2391,33.4126,33.6596,32.8045,Monthly,OTC Global Holdings,4
590468,181867,2020-04-01,2023-10-01,24.4373,19.7037,22.2864,21.1138,Monthly,OTC Global Holdings,4
590469,181868,2020-04-01,2023-11-01,24.2424,19.5477,22.1823,21.0822,Monthly,OTC Global Holdings,4
590470,181869,2020-04-01,2023-12-01,24.7906,20.3173,22.8925,21.401,Monthly,OTC Global Holdings,4
590471,181870,2020-04-01,2024-01-01,32.3844,29.2519,28.7126,29.2119,Monthly,OTC Global Holdings,4
590472,181871,2020-04-01,2024-02-01,31.9287,28.8684,28.36,28.8574,Monthly,OTC Global Holdings,4
590473,181872,2020-04-01,2024-03-01,25.2545,18.2953,23.1628,21.8604,Monthly,OTC Global Holdings,4
590474,181873,2020-04-01,2024-04-01,23.2679,16.1249,21.2063,19.8727,Monthly,OTC Global Holdings,4
590475,181874,2020-04-01,2024-05-01,26.0523,19.274,23.6207,22.5445,Monthly,OTC Global Holdings,4
590476,181875,2020-04-01,2024-06-01,35.4281,29.8753,31.4799,31.7725,Monthly,OTC Global Holdings,4
590477,181876,2020-04-01,2024-07-01,62.5242,59.4961,55.7476,56.2372,Monthly,OTC Global Holdings,4
590478,181877,2020-04-01,2024-08-01,84.73299999999998,83.1371,76.6258,77.7332,Monthly,OTC Global Holdings,4
590479,181878,2020-04-01,2024-09-01,37.0114,31.7778,31.9545,31.8158,Monthly,OTC Global Holdings,4
590480,181879,2020-04-01,2024-10-01,23.5003,18.6509,21.0813,20.8646,Monthly,OTC Global Holdings,4
590481,181880,2020-04-01,2024-11-01,23.3553,18.4325,20.9249,20.7867,Monthly,OTC Global Holdings,4
590482,181881,2020-04-01,2024-12-01,24.1286,19.2547,21.6676,21.1399,Monthly,OTC Global Holdings,4
590483,181882,2020-04-01,2025-01-01,31.1866,28.5821,28.399,29.1089,Monthly,OTC Global Holdings,4
590484,181883,2020-04-01,2025-02-01,30.6923,28.2299,28.0981,28.7859,Monthly,OTC Global Holdings,4
590485,181884,2020-04-01,2025-03-01,24.1396,17.6885,22.2033,21.4003,Monthly,OTC Global Holdings,4
590486,181885,2020-04-01,2025-04-01,22.2659,15.817,20.48,19.6664,Monthly,OTC Global Holdings,4
590487,181886,2020-04-01,2025-05-01,24.0056,17.8182,21.9184,21.1916,Monthly,OTC Global Holdings,4
590488,181887,2020-04-01,2025-06-01,39.0966,30.0329,32.1175,31.6459,Monthly,OTC Global Holdings,4
590489,181888,2020-04-01,2025-07-01,59.2671,54.9463,52.8649,53.0935,Monthly,OTC Global Holdings,4
590490,181889,2020-04-01,2025-08-01,80.2994,77.0361,72.8631,73.4981,Monthly,OTC Global Holdings,4
590491,181890,2020-04-01,2025-09-01,37.3414,30.9585,31.7661,31.1589,Monthly,OTC Global Holdings,4
590492,181891,2020-04-01,2025-10-01,23.7639,19.0034,21.1536,20.9716,Monthly,OTC Global Holdings,4
590493,181892,2020-04-01,2025-11-01,23.6086,18.8768,21.0584,20.9574,Monthly,OTC Global Holdings,4
590494,181893,2020-04-01,2025-12-01,24.3925,19.4751,21.6378,21.1298,Monthly,OTC Global Holdings,4
590495,181894,2020-04-01,2026-01-01,29.7953,27.3987,28.6972,28.4993,Monthly,OTC Global Holdings,4
590496,181895,2020-04-01,2026-02-01,29.341,27.0863,28.4261,28.1576,Monthly,OTC Global Holdings,4
590497,181896,2020-04-01,2026-03-01,22.0563,16.6817,22.1714,20.8263,Monthly,OTC Global Holdings,4
590498,181897,2020-04-01,2026-04-01,20.5068,15.1516,20.7697,19.4037,Monthly,OTC Global Holdings,4
590499,181898,2020-04-01,2026-05-01,21.2402,16.4128,20.5526,19.84,Monthly,OTC Global Holdings,4
590500,181899,2020-04-01,2026-06-01,37.5553,25.3168,27.8562,27.5953,Monthly,OTC Global Holdings,4
590501,181900,2020-04-01,2026-07-01,55.6133,48.6205,47.1402,48.3701,Monthly,OTC Global Holdings,4
590502,181901,2020-04-01,2026-08-01,74.8342,67.9812,64.9058,66.7878,Monthly,OTC Global Holdings,4
590503,181902,2020-04-01,2026-09-01,37.7177,26.6785,27.74,27.4134,Monthly,OTC Global Holdings,4
590504,181903,2020-04-01,2026-10-01,22.2635,17.3359,19.3742,19.2857,Monthly,OTC Global Holdings,4
590505,181904,2020-04-01,2026-11-01,22.1276,16.9203,19.124,19.0192,Monthly,OTC Global Holdings,4
590506,181905,2020-04-01,2026-12-01,22.6868,17.6017,19.6932,19.2539,Monthly,OTC Global Holdings,4
590507,181906,2020-04-01,2027-01-01,28.0212,26.0439,25.1644,25.3606,Monthly,OTC Global Holdings,4
590508,181907,2020-04-01,2027-02-01,27.6181,25.7621,24.9038,25.1071,Monthly,OTC Global Holdings,4
590509,181908,2020-04-01,2027-03-01,21.8083,17.6555,21.1544,19.74,Monthly,OTC Global Holdings,4
590510,181909,2020-04-01,2027-04-01,20.1757,15.914,19.6373,18.3886,Monthly,OTC Global Holdings,4
590511,181910,2020-04-01,2027-05-01,22.9471,18.1997,20.6752,20.5367,Monthly,OTC Global Holdings,4
590512,181911,2020-04-01,2027-06-01,36.2319,23.3737,24.3716,25.2582,Monthly,OTC Global Holdings,4
590513,181912,2020-04-01,2027-07-01,54.5768,45.6012,49.5846,45.0942,Monthly,OTC Global Holdings,4
590514,181913,2020-04-01,2027-08-01,73.7809,64.2957,68.2856,64.8588,Monthly,OTC Global Holdings,4
590515,181914,2020-04-01,2027-09-01,33.8363,21.9682,21.6304,22.6577,Monthly,OTC Global Holdings,4
590516,181915,2020-04-01,2027-10-01,22.8062,15.9734,17.2182,17.8,Monthly,OTC Global Holdings,4
590517,181916,2020-04-01,2027-11-01,22.6802,15.7619,17.1206,17.534000000000002,Monthly,OTC Global Holdings,4
590518,181917,2020-04-01,2027-12-01,23.2807,16.155,17.4833,17.596,Monthly,OTC Global Holdings,4
590519,181918,2020-04-01,2028-01-01,34.6007,24.9756,28.3148,27.297,Monthly,OTC Global Holdings,4
