,Unnamed: 0,AsOfDate,Term,Houston Zone,West Zone,South Zone,North Zone,Peak,Region,asofmonth
546888,258312,2019-09-01,2020-07-01,109.0667,103.8631,99.5145,104.5595,Monthly,OTC Global Holdings,9
546889,405600,2019-09-01,2020-07-01,26.7244,23.6102,23.1279,24.1077,Monthly,OTC Global Holdings,9
546890,258313,2019-09-01,2020-08-01,178.3753,173.2008,161.4952,173.896,Monthly,OTC Global Holdings,9
546891,405601,2019-09-01,2020-08-01,31.742,29.1101,28.0115,29.4974,Monthly,OTC Global Holdings,9
546892,258314,2019-09-01,2020-09-01,37.8189,34.9616,35.1807,35.5172,Monthly,OTC Global Holdings,9
546893,405602,2019-09-01,2020-09-01,21.6476,19.3856,19.8648,20.219,Monthly,OTC Global Holdings,9
546894,258315,2019-09-01,2020-10-01,26.9224,22.8994,24.9368,24.8514,Monthly,OTC Global Holdings,9
546895,405603,2019-09-01,2020-10-01,18.6386,14.9525,16.9223,17.1027,Monthly,OTC Global Holdings,9
546896,258316,2019-09-01,2020-11-01,23.7849,19.6987,21.9296,21.6676,Monthly,OTC Global Holdings,9
546897,405604,2019-09-01,2020-11-01,18.086,14.356,16.4154,16.4931,Monthly,OTC Global Holdings,9
546898,258317,2019-09-01,2020-12-01,24.3536,20.2996,22.562,22.2672,Monthly,OTC Global Holdings,9
546899,405605,2019-09-01,2020-12-01,19.9337,16.5521,18.5376,18.6483,Monthly,OTC Global Holdings,9
546900,258318,2019-09-01,2021-01-01,29.594,27.8238,27.8596,28.9907,Monthly,OTC Global Holdings,9
546901,405606,2019-09-01,2021-01-01,21.8265,18.9002,19.7698,20.392,Monthly,OTC Global Holdings,9
546902,258319,2019-09-01,2021-02-01,29.506,27.7378,27.8232,28.9034,Monthly,OTC Global Holdings,9
546903,405607,2019-09-01,2021-02-01,21.2595,18.3377,19.2779,19.8264,Monthly,OTC Global Holdings,9
546904,258320,2019-09-01,2021-03-01,27.7934,21.6322,25.1552,24.9395,Monthly,OTC Global Holdings,9
546905,405608,2019-09-01,2021-03-01,20.306,13.9047,17.6363,17.2996,Monthly,OTC Global Holdings,9
546906,258321,2019-09-01,2021-04-01,25.8082,19.6307,23.3199,22.946,Monthly,OTC Global Holdings,9
546907,405609,2019-09-01,2021-04-01,19.0576,12.678,16.4827,16.0515,Monthly,OTC Global Holdings,9
546908,258322,2019-09-01,2021-05-01,28.8699,22.7426,25.9818,25.7679,Monthly,OTC Global Holdings,9
546909,405610,2019-09-01,2021-05-01,19.7278,14.1151,17.4448,17.0204,Monthly,OTC Global Holdings,9
546910,258323,2019-09-01,2021-06-01,39.0845,34.9986,36.5241,36.5447,Monthly,OTC Global Holdings,9
546911,405611,2019-09-01,2021-06-01,21.2799,16.9295,18.8442,18.7712,Monthly,OTC Global Holdings,9
547128,149292,2019-09-02,2020-07-01,109.0667,103.8631,99.5145,104.5595,Monthly,OTC Global Holdings,9
547129,586885,2019-09-02,2020-07-01,26.7244,23.6102,23.1279,24.1077,Monthly,OTC Global Holdings,9
547130,149293,2019-09-02,2020-08-01,178.3753,173.2008,161.4952,173.896,Monthly,OTC Global Holdings,9
547131,586886,2019-09-02,2020-08-01,31.742,29.1101,28.0115,29.4974,Monthly,OTC Global Holdings,9
547132,149294,2019-09-02,2020-09-01,37.8189,34.9616,35.1807,35.5172,Monthly,OTC Global Holdings,9
547133,586887,2019-09-02,2020-09-01,21.6476,19.3856,19.8648,20.219,Monthly,OTC Global Holdings,9
547134,149295,2019-09-02,2020-10-01,26.9224,22.8994,24.9368,24.8514,Monthly,OTC Global Holdings,9
547135,586888,2019-09-02,2020-10-01,18.6386,14.9525,16.9223,17.1027,Monthly,OTC Global Holdings,9
547136,149296,2019-09-02,2020-11-01,23.7849,19.6987,21.9296,21.6676,Monthly,OTC Global Holdings,9
547137,586889,2019-09-02,2020-11-01,18.086,14.356,16.4154,16.4931,Monthly,OTC Global Holdings,9
547138,149297,2019-09-02,2020-12-01,24.3536,20.2996,22.562,22.2672,Monthly,OTC Global Holdings,9
547139,586890,2019-09-02,2020-12-01,19.9337,16.5521,18.5376,18.6483,Monthly,OTC Global Holdings,9
547140,149298,2019-09-02,2021-01-01,29.594,27.8238,27.8596,28.9907,Monthly,OTC Global Holdings,9
547141,586891,2019-09-02,2021-01-01,21.8265,18.9002,19.7698,20.392,Monthly,OTC Global Holdings,9
547142,149299,2019-09-02,2021-02-01,29.506,27.7378,27.8232,28.9034,Monthly,OTC Global Holdings,9
547143,586892,2019-09-02,2021-02-01,21.2595,18.3377,19.2779,19.8264,Monthly,OTC Global Holdings,9
547144,149300,2019-09-02,2021-03-01,27.7934,21.6322,25.1552,24.9395,Monthly,OTC Global Holdings,9
547145,586893,2019-09-02,2021-03-01,20.306,13.9047,17.6363,17.2996,Monthly,OTC Global Holdings,9
547146,149301,2019-09-02,2021-04-01,25.8082,19.6307,23.3199,22.946,Monthly,OTC Global Holdings,9
547147,586894,2019-09-02,2021-04-01,19.0576,12.678,16.4827,16.0515,Monthly,OTC Global Holdings,9
547148,149302,2019-09-02,2021-05-01,28.8699,22.7426,25.9818,25.7679,Monthly,OTC Global Holdings,9
547149,586895,2019-09-02,2021-05-01,19.7278,14.1151,17.4448,17.0204,Monthly,OTC Global Holdings,9
547150,149303,2019-09-02,2021-06-01,39.0845,34.9986,36.5241,36.5447,Monthly,OTC Global Holdings,9
547151,586896,2019-09-02,2021-06-01,21.2799,16.9295,18.8442,18.7712,Monthly,OTC Global Holdings,9
547366,36862,2019-09-03,2020-07-01,115.7165,110.3548,110.0251,110.9891,Monthly,OTC Global Holdings,9
547367,473915,2019-09-03,2020-07-01,27.3805,24.1734,24.2648,24.6625,Monthly,OTC Global Holdings,9
547368,36863,2019-09-03,2020-08-01,192.6724,187.6147,185.4125,188.0769,Monthly,OTC Global Holdings,9
547369,473916,2019-09-03,2020-08-01,32.6139,29.9342,29.543000000000006,30.2792,Monthly,OTC Global Holdings,9
547370,36864,2019-09-03,2020-09-01,38.5176,35.5698,36.3639,36.1365,Monthly,OTC Global Holdings,9
547371,473917,2019-09-03,2020-09-01,22.1366,19.815,20.6925,20.6706,Monthly,OTC Global Holdings,9
547372,36865,2019-09-03,2020-10-01,27.6354,23.4754,25.8548,25.4948,Monthly,OTC Global Holdings,9
547373,473918,2019-09-03,2020-10-01,19.0681,15.2458,17.5501,17.487000000000002,Monthly,OTC Global Holdings,9
547374,36866,2019-09-03,2020-11-01,24.1369,19.9248,22.3943,21.9547,Monthly,OTC Global Holdings,9
547375,473919,2019-09-03,2020-11-01,18.4555,14.5985,16.9332,16.8192,Monthly,OTC Global Holdings,9
547376,36867,2019-09-03,2020-12-01,24.6701,20.5061,22.9447,22.5275,Monthly,OTC Global Holdings,9
547377,473920,2019-09-03,2020-12-01,20.2962,16.8165,19.0478,18.9857,Monthly,OTC Global Holdings,9
547378,36868,2019-09-03,2021-01-01,30.0838,28.2769,28.4228,29.4714,Monthly,OTC Global Holdings,9
547379,473921,2019-09-03,2021-01-01,22.2422,19.2459,20.2851,20.7771,Monthly,OTC Global Holdings,9
547380,36869,2019-09-03,2021-02-01,30.0048,28.1999,28.3361,29.3927,Monthly,OTC Global Holdings,9
547381,473922,2019-09-03,2021-02-01,21.6688,18.6763,19.7454,20.2051,Monthly,OTC Global Holdings,9
547382,36870,2019-09-03,2021-03-01,28.3046,21.9459,25.5743,25.3593,Monthly,OTC Global Holdings,9
547383,473923,2019-09-03,2021-03-01,20.7743,14.1557,18.08,17.6706,Monthly,OTC Global Holdings,9
547384,36871,2019-09-03,2021-04-01,26.2767,19.9116,23.6331,23.3274,Monthly,OTC Global Holdings,9
547385,473924,2019-09-03,2021-04-01,19.4917,12.9091,16.8436,16.3947,Monthly,OTC Global Holdings,9
547386,36872,2019-09-03,2021-05-01,29.5635,23.2339,26.4508,26.358,Monthly,OTC Global Holdings,9
547387,473925,2019-09-03,2021-05-01,20.2192,14.4187,17.8461,17.4274,Monthly,OTC Global Holdings,9
547388,36873,2019-09-03,2021-06-01,40.2011,35.9851,37.372,37.5736,Monthly,OTC Global Holdings,9
547389,473926,2019-09-03,2021-06-01,21.8572,17.3635,19.2908,19.2702,Monthly,OTC Global Holdings,9
547606,231731,2019-09-04,2020-07-01,27.0758,24.6692,24.0491,24.7775,Monthly,OTC Global Holdings,9
547607,359147,2019-09-04,2020-07-01,119.0589,113.6077,112.7314,114.3769,Monthly,OTC Global Holdings,9
547608,231732,2019-09-04,2020-08-01,32.1856,30.4338,29.2018,30.3229,Monthly,OTC Global Holdings,9
547609,359148,2019-09-04,2020-08-01,195.0955,189.5835,187.3839,190.3904,Monthly,OTC Global Holdings,9
547610,231733,2019-09-04,2020-09-01,21.9328,20.288,20.5163,20.8162,Monthly,OTC Global Holdings,9
547611,359149,2019-09-04,2020-09-01,42.0481,39.0745,39.4015,39.6635,Monthly,OTC Global Holdings,9
547612,231734,2019-09-04,2020-10-01,18.8793,15.6644,17.3946,17.625999999999994,Monthly,OTC Global Holdings,9
547613,359150,2019-09-04,2020-10-01,27.8587,23.7047,25.7258,25.7184,Monthly,OTC Global Holdings,9
547614,231735,2019-09-04,2020-11-01,18.2599,15.0065,16.7699,16.9651,Monthly,OTC Global Holdings,9
547615,359151,2019-09-04,2020-11-01,24.3407,20.1265,22.2699,22.1552,Monthly,OTC Global Holdings,9
547616,231736,2019-09-04,2020-12-01,20.0482,17.2621,18.822,19.1381,Monthly,OTC Global Holdings,9
547617,359152,2019-09-04,2020-12-01,24.8715,20.6951,22.7873,22.7203,Monthly,OTC Global Holdings,9
547618,231737,2019-09-04,2021-01-01,22.0129,19.8142,20.0864,20.9951,Monthly,OTC Global Holdings,9
547619,359153,2019-09-04,2021-01-01,30.3868,28.5444,28.1894,29.751,Monthly,OTC Global Holdings,9
547620,231738,2019-09-04,2021-02-01,21.4331,19.2446,19.5389,20.4194,Monthly,OTC Global Holdings,9
