,Unnamed: 0,Unnamed: 1
0,Power Forwards & Futures (Data),
1,Source: OTC Global Holdings,
2,Region: Alberta,
3,Forward Term: Monthly,
4,Peak: On Peak,
5,As Of: 05/31/2013,
6,As Of : 5/31/2013,
7,Term,Alberta
8,May 2013,51.37
9,Jun 2013,122.4
10,Jul 2013,127.48
11,Aug 2013,123.8
12,Sep 2013,123.01
13,Oct 2013,89.28
14,Nov 2013,90.3
15,Dec 2013,85.61
16,Jan 2014,83.17
17,Feb 2014,79.29
18,Mar 2014,77.75
19,Apr 2014,56.05
20,May 2014,60.82
21,Jun 2014,69.67
22,Jul 2014,94.93
23,Aug 2014,85.54
24,Sep 2014,74.26
25,Oct 2014,62.26
26,Nov 2014,63.25
27,Dec 2014,71.57
28,Jan 2015,76.8
29,Feb 2015,63.06
30,Mar 2015,57.3
31,Apr 2015,49.58
32,May 2015,53.89
33,Jun 2015,61.6
34,Jul 2015,82.24
35,Aug 2015,74.13
36,Sep 2015,64.41
37,Oct 2015,67.46
38,Nov 2015,68.69
39,Dec 2015,78
40,Jan 2016,82.24
41,Feb 2016,67.44
42,Mar 2016,61.22
43,Apr 2016,56.5
44,May 2016,61.49
45,Jun 2016,70.35
46,Jul 2016,87.68
47,Aug 2016,79.02
48,Sep 2016,68.67
49,Oct 2016,67.63
50,Nov 2016,68.93
51,Dec 2016,78.24
52,Jan 2017,85.76
53,Feb 2017,70.44
54,Mar 2017,63.97
55,Apr 2017,59.22
56,May 2017,64.41
57,Jun 2017,73.63
58,Jul 2017,91.7
59,Aug 2017,82.62
60,Sep 2017,71.78
61,Oct 2017,70.7
62,Nov 2017,72.29
63,Dec 2017,82.13
64,Jan 2018,90.44
65,Feb 2018,74.3
66,Mar 2018,67.51
67,Apr 2018,62.71
68,May 2018,68.22
69,Jun 2018,77.94
70,Jul 2018,97.04
71,Aug 2018,87.43
72,Sep 2018,75.97
73,Oct 2018,74.87
74,Nov 2018,76.59
75,Dec 2018,87.07
76,Jan 2019,90.99
77,Feb 2019,74.79
78,Mar 2019,68.03
79,Apr 2019,63.84
80,May 2019,69.52
81,Jun 2019,79.48
82,Jul 2019,98.93
83,Aug 2019,89.13
84,Sep 2019,77.44
85,Oct 2019,76.31
86,Nov 2019,77.94
87,Dec 2019,88.38
88,Jan 2020,98.39
89,Feb 2020,80.9
90,Mar 2020,73.64
91,Apr 2020,69.28
