,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: On Peak,,,,
5,As Of: 03/06/2016,,,,
6,As Of : 3/4/2016,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Mar 2016,19.39,18.01,19.27,17.62
9,Apr 2016,23.05,21.18,22.16,21.1
10,May 2016,23.61,21.5,22.22,21.33
11,Jun 2016,27.13,24.98,26,24.89
12,Jul 2016,37.04,35.52,36.52,36.56
13,Aug 2016,55.08,53.36,54.49,54.45
14,Sep 2016,27.51,25.14,26,25.26
15,Oct 2016,24.28,22,23.16,21.83
16,Nov 2016,23.91,22.4,23.27,22.07
17,Dec 2016,24.17,23.82,24.43,23.56
18,Jan 2017,26.36,26.25,27.09,25.46
19,Feb 2017,26.34,26.23,27.06,25.16
20,Mar 2017,28.43,25.93,26.65,24.19
21,Apr 2017,29.75,26.77,28.04,25.1
22,May 2017,28.5,25.3,26.65,24.17
23,Jun 2017,34.29,31.18,32.88,30.67
24,Jul 2017,43.9,41.43,42.5,41.25
25,Aug 2017,61.65,59.88,61.08,59.7
26,Sep 2017,31.31,28.65,29.68,28.1
27,Oct 2017,29.18,26.14,27.44,24.62
28,Nov 2017,27.51,25.66,26.6,24.09
29,Dec 2017,26.23,25.6,26.31,23.96
30,Jan 2018,28.38,28.76,29.49,28.23
31,Feb 2018,28.29,28.67,29.4,28.14
32,Mar 2018,29.83,27.66,28.67,26.47
33,Apr 2018,29.93,27.34,28.43,26.33
34,May 2018,28.59,25.75,26.56,24.86
35,Jun 2018,34.2,31.51,32.87,31.25
36,Jul 2018,45.42,43.39,44.51,43.86
37,Aug 2018,63.11,61.78,63.03,62.25
38,Sep 2018,32,29.07,30.76,28.81
39,Oct 2018,28.85,26.26,27.75,24.82
40,Nov 2018,26.68,25.25,26.46,23.78
41,Dec 2018,25.93,25.68,26.25,23.95
42,Jan 2019,28.78,29.36,29.07,28.78
43,Feb 2019,28.59,29.17,28.88,28.59
44,Mar 2019,30.06,27.96,27.96,26.68
45,Apr 2019,30.3,27.72,27.72,26.69
46,May 2019,29.62,27.12,27.12,26.22
47,Jun 2019,34.99,32.03,32.42,31.77
48,Jul 2019,48.53,45.65,46.05,46.18
49,Aug 2019,67.5,66.28,66.68,66.82
50,Sep 2019,32.62,29.54,29.94,29.28
51,Oct 2019,29.77,26.99,27.66,25.51
52,Nov 2019,27.36,25.76,25.76,24.25
53,Dec 2019,26.17,25.85,25.42,24.12
54,Jan 2020,29.38,29.68,29.38,29.02
55,Feb 2020,29.18,29.48,29.18,28.82
56,Mar 2020,30.51,28.21,28.21,26.84
57,Apr 2020,30.77,28.29,28.29,27.17
58,May 2020,30.15,27.68,27.68,26.69
59,Jun 2020,35.72,33.12,33.53,32.8
60,Jul 2020,48.41,47.15,47.56,47.64
61,Aug 2020,69.82,68.36,68.78,68.86
62,Sep 2020,32.83,30.25,30.66,29.92
63,Oct 2020,29.9,27.44,28.13,25.85
64,Nov 2020,27.92,26.03,26.03,24.41
65,Dec 2020,26.22,26.17,25.72,24.31
66,Jan 2021,30.34,30.66,30.34,30.66
67,Feb 2021,30.15,30.46,30.15,30.46
68,Mar 2021,31.42,29.02,29.02,28.26
69,Apr 2021,31.51,28.93,28.93,28.38
70,May 2021,30.98,28.4,28.4,27.99
71,Jun 2021,36.76,34.07,34.49,34.35
72,Jul 2021,50.13,48.82,49.25,49.96
73,Aug 2021,72.44,70.93,71.36,72.07
74,Sep 2021,33.72,31.03,31.46,31.32
75,Oct 2021,30.61,28.04,28.77,27.03
76,Nov 2021,28.59,26.63,26.63,25.58
77,Dec 2021,26.57,26.52,26.05,25.26
78,Jan 2022,31.8,32.12,31.64,31.97
79,Feb 2022,31.6,31.92,31.6,31.92
80,Mar 2022,32.96,30.44,30.44,29.65
81,Apr 2022,32.8,30.12,30.12,29.54
82,May 2022,32.25,29.57,29.57,29.14
83,Jun 2022,38.25,35.46,35.9,35.75
84,Jul 2022,52.15,50.8,51.24,51.98
85,Aug 2022,75.44,73.87,74.31,75.06
86,Sep 2022,35.2,32.39,32.84,32.69
87,Oct 2022,31.98,29.3,30.05,28.24
88,Nov 2022,29.84,27.79,27.79,26.7
89,Dec 2022,27.72,27.67,27.18,26.36
90,Jan 2023,33.18,33.52,33.02,33.36
91,Feb 2023,32.98,33.32,32.98,33.32
