,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
0,Power Forwards & Futures (Data),,,,,,,,,,,
1,Source: OTC Global Holdings,,,,,,,,,,,
2,Region: ERCOT,,,,,,,,,,,
3,Forward Term: Monthly,,,,,,,,,,,
4,Peak: Off Peak,,,,,,,,,,,
5,As Of: 09/19/2018,,,,,,,,,,,
6,As Of : 9/19/2018,,,,,,,,,,,
7,Term,AEN,CPS,DC_E,DC_N,DC_R,Houston Zone,LCRA,North Zone,OKLA,South Zone,West Zone
8,Sep 2018,24.6411,24.6636,24.6431,23.9871,26.5122,25.2511,24.645,23.2929,23.9205,23.8412,22.9894
9,Oct 2018,21.3741,21.2567,21.2373,20.1413,22.6361,23.3856,21.3402,20.9878,19.953,21.7547,17.2407
10,Nov 2018,20.2593,20.0823,20.0556,18.9438,21.6728,21.0298,20.225,18.788,18.8344,19.4957,15.2687
11,Dec 2018,22.1458,21.9058,21.8827,20.7991,23.6357,22.0029,22.1143,20.369,20.7094,21.1445,17.2113
12,Jan 2019,24.8125,24.3921,24.3961,23.2175,26.4083,22.6853,24.779,23.1723,23.3009,23.6523,20.1995
13,Feb 2019,24.6857,24.3357,24.3709,23.0286,26.4567,22.3913,24.6849,22.8495,23.2906,23.4366,19.9876
14,Mar 2019,22.5519,22.3716,22.4372,21.0109,24.4489,21.1301,22.547,20.829,21.3915,22.4555,17.2388
15,Apr 2019,22.3181,22.1254,22.242,20.6412,24.4246,21.2142,22.3081,20.2064,21.3101,21.0039,17.2156
16,May 2019,22.3936,22.2622,22.4976,20.54,24.7231,21.6708,22.3966,20.3917,21.6024,21.9666,17.5892
17,Jun 2019,23.6751,23.5568,23.9095,21.5817,26.412,23.1324,23.7034,21.8166,23.0823,23.3861,19.6786
18,Jul 2019,27.7615,27.621,28.0122,25.5782,30.6381,26.2494,27.7959,26.0371,27.1965,27.0681,24.5513
19,Aug 2019,28.6737,28.5505,28.9425,26.4963,31.6614,27.0581,28.7202,26.9672,28.1119,28.2908,25.0474
20,Sep 2019,23.7988,23.728,24.12,21.6356,26.9056,23.0966,23.8503,21.6173,23.2784,23.7028,20.0352
21,Oct 2019,22.0667,21.7698,21.9254,20.7939,23.3696,20.3593,22.0317,19.3326,21.3444,20.915,16.7724
22,Nov 2019,21.3435,21.1663,21.1286,19.9589,22.8313,19.5037,21.3073,18.6852,20.8602,20.4741,16.4722
23,Dec 2019,23.6304,22.1529,23.349,22.1962,25.2175,20.0662,23.5967,19.7156,21.7806,21.2793,17.6939
24,Jan 2020,22.4553,22.5578,22.0774,21.0159,23.8955,21.4213,22.4247,20.6673,22.1501,21.0447,19.1507
25,Feb 2020,22.1942,22.1119,21.9106,20.7062,23.7846,20.9678,22.1934,20.3419,21.7049,20.6304,18.7875
26,Mar 2020,20.218,20.8942,20.1153,18.8362,21.919,20.5445,20.2137,19.3051,20.4775,19.6647,16.6141
27,Apr 2020,19.843,18.9728,19.776,18.3494,21.7186,19.6847,19.8342,17.5058,18.5496,18.3883,15.1853
28,May 2020,19.6719,18.302,19.7647,18.0383,21.7237,19.4604,19.6748,17.1515,17.8424,17.8248,14.8736
29,Jun 2020,20.5162,18.9863,20.7217,18.6933,22.897,20.2378,20.5411,18.0981,18.5289,18.4971,16.4195
30,Jul 2020,24.8911,27.43,25.1159,22.9336,27.4703,28.0185,24.9219,25.9338,26.9115,26.4183,25.8486
31,Aug 2020,25.731,28.3935,25.9722,23.7771,28.4121,28.9786,25.7727,26.9663,27.853,27.7234,26.4565
32,Sep 2020,21.3841,20.2158,21.6728,19.4405,24.1758,21.2632,21.4304,18.3494,19.6692,19.8278,17.7187
33,Oct 2020,19.8252,18.4483,19.6983,18.6817,20.9958,18.8447,19.7937,16.5893,17.8779,17.6422,14.7226
34,Nov 2020,19.2264,18.5466,19.0329,17.9792,20.5667,18.3542,19.1938,16.4621,17.9239,17.6887,14.9329
35,Dec 2020,21.3994,19.7073,21.1445,20.1005,22.8367,18.9484,21.3688,17.6164,19.0594,18.6294,16.4211
36,Jan 2021,20.9575,21.8294,20.6048,19.6141,22.3017,20.2863,20.929,19.8898,21.1535,20.0714,16.4616
37,Feb 2021,20.736,21.3207,20.4711,19.3458,22.2219,19.7279,20.7352,19.4411,20.5997,19.551,16.0063
38,Mar 2021,18.9714,20.4832,18.875,17.6747,20.5675,19.7469,18.9673,18.8073,19.6621,19.0183,14.4026
39,Apr 2021,18.6915,18.8059,18.6285,17.2846,20.4583,19.1981,18.6833,17.2846,17.8521,18.0542,13.3813
40,May 2021,18.5419,18.1314,18.6294,17.0022,20.4759,18.8958,18.5447,16.8232,17.0003,17.3913,13.0172
41,Jun 2021,19.3726,18.8046,19.5666,17.6513,21.6207,19.5548,19.3962,17.6794,17.5604,17.9543,14.3413
42,Jul 2021,23.5454,23.0949,23.7581,21.6938,25.9852,22.9216,23.5746,21.3555,21.7059,21.668,19.1425
43,Aug 2021,24.4282,24.0851,24.6572,22.5732,26.9736,23.8012,24.4678,22.3264,22.6864,22.9223,19.6278
44,Sep 2021,20.3736,20.3462,20.6486,18.5217,23.0332,20.8308,20.4177,18.1573,18.9138,19.5357,15.7419
45,Oct 2021,18.9265,18.6748,18.8053,17.8348,20.0439,18.5431,18.8964,16.5259,17.2187,17.4711,13.0972
46,Nov 2021,18.3919,18.8182,18.2067,17.1988,19.674,18.0282,18.3607,16.3692,17.2918,17.514,13.2927
47,Dec 2021,20.495,19.9539,20.2509,19.2511,21.8716,18.571,20.4658,17.516,18.4272,18.4138,14.6104
48,Jan 2022,18.5568,19.7717,18.2445,17.3673,19.747,18.8179,18.5316,17.9275,18.2258,18.5721,16.0185
49,Feb 2022,18.3605,19.1972,18.1259,17.1296,19.6762,18.1316,18.3598,17.4334,17.5015,18.0658,15.5432
50,Mar 2022,16.8349,18.4047,16.7494,15.6843,18.2513,18.4732,16.8313,16.9851,16.8652,17.7132,13.9841
51,Apr 2022,16.5958,16.8754,16.5398,15.3466,18.1645,17.8647,16.5885,15.3081,14.9053,16.5798,12.7073
52,May 2022,16.4971,16.4603,16.575,15.1272,18.2178,17.7504,16.4996,15.0107,14.2102,16.0884,12.5011
53,Jun 2022,17.2074,16.9179,17.3798,15.6785,19.2043,18.2159,17.2284,15.6233,14.3485,16.4611,13.7689
54,Jul 2022,20.8798,20.6559,21.0683,19.2378,23.0434,21.1281,20.9057,18.7908,17.8563,19.6995,18.4773
55,Aug 2022,21.6626,21.3675,21.8656,20.0176,23.9197,21.7504,21.6977,19.493,18.5554,20.7172,18.722
56,Sep 2022,18.1102,18.3202,18.3547,16.4641,20.4744,19.2716,18.1494,15.9724,15.3241,17.8718,15.0602
57,Oct 2022,16.8632,16.6365,16.7552,15.8906,17.8589,17.2007,16.8364,14.6437,15.3529,16.0347,12.4686
58,Nov 2022,16.4164,16.7944,16.2511,15.3515,17.5608,16.6827,16.3886,14.5485,15.4458,16.138,12.7148
59,Dec 2022,18.3406,17.8539,18.1222,17.2275,19.5725,17.2362,18.3145,15.7447,16.5018,17.1213,14.2193
60,Jan 2023,19.7028,20.9927,19.3713,18.4399,20.9666,19.98,19.676,18.5366,19.3514,18.6599,15.2703
61,Feb 2023,19.5106,20.3997,19.2613,18.2026,20.9087,19.2674,19.5099,18.2357,18.5978,18.293,14.9763
62,Mar 2023,17.914,19.5844,17.823,16.6897,19.4212,19.6573,17.9102,17.6897,17.9462,17.8806,13.4067
63,Apr 2023,17.7652,18.0645,17.7053,16.428,19.4445,19.1235,17.7574,16.3101,15.9556,17.0764,12.3707
64,May 2023,17.6906,17.6512,17.7741,16.2216,19.5359,19.0346,17.6933,15.9729,15.2383,16.558,12.2765
65,Jun 2023,18.4559,18.1454,18.6408,16.8161,20.5977,19.5376,18.4784,16.8787,15.3896,17.1704,13.6707
66,Jul 2023,22.3985,22.1583,22.6008,20.637,24.7194,22.6649,22.4262,20.546,19.155,20.8391,18.6011
67,Aug 2023,23.2536,22.9368,23.4716,21.4878,25.6766,23.3478,23.2913,21.3766,19.9182,21.9645,18.8205
68,Sep 2023,19.4705,19.6963,19.7333,17.7007,22.0122,20.7191,19.5126,17.4394,16.4751,18.8191,15.1121
69,Oct 2023,18.1675,17.9233,18.0512,17.1196,19.2402,18.5311,18.1386,15.8223,16.5404,16.7542,12.4958
70,Nov 2023,17.676,18.083,17.498,16.5293,18.9081,17.9627,17.646,15.7218,16.6309,16.8572,12.8038
71,Dec 2023,19.7666,19.242,19.5312,18.5668,21.0942,18.5762,19.7384,16.9446,17.7848,17.8086,14.2475
72,Jan 2024,19.0795,20.3286,18.7584,17.8565,20.3032,19.3479,19.0535,17.7356,18.7391,18.9888,15.9318
73,Feb 2024,18.8989,19.7601,18.6574,17.6318,20.2531,18.6633,18.8982,17.5133,18.0147,18.6149,15.6513
74,Mar 2024,17.3759,18.9961,17.2876,16.1883,18.8378,19.0668,17.3722,16.9546,17.4071,18.2018,13.9484
75,Apr 2024,17.2879,17.5792,17.2296,15.9866,18.922,18.6097,17.2803,15.6613,15.5269,17.4069,12.9101
76,May 2024,17.2188,17.1805,17.3001,15.789,19.0148,18.527,17.2214,15.272,14.8318,16.8122,12.6659
77,Jun 2024,17.9648,17.6626,18.1448,16.3687,20.0496,19.0177,17.9867,16.2559,14.9801,17.5313,14.2253
78,Jul 2024,21.8114,21.5775,22.0084,20.0961,24.0715,22.0708,21.8384,19.9545,18.653,21.4843,19.6504
79,Aug 2024,22.6395,22.3311,22.8517,20.9203,24.9985,22.7313,22.6762,21.0535,19.3922,22.9292,20.1269
80,Sep 2024,18.9337,19.1533,19.1893,17.2127,21.4054,20.1479,18.9747,17.1155,16.0209,19.567,16.1512
81,Oct 2024,17.6206,17.3837,17.5078,16.6043,18.661,17.9732,17.5926,15.5561,16.0425,17.4812,13.4115
82,Nov 2024,17.1143,17.5084,16.942,16.0041,18.3074,17.3919,17.0853,15.5517,16.1025,17.6875,13.823
83,Dec 2024,19.0873,18.5807,18.8599,17.9288,20.3692,17.9378,19.06,16.6966,17.1736,18.6075,15.3278
84,Jan 2025,18.146,19.334,17.8406,16.9828,19.3099,18.4013,18.1213,17.0443,17.8223,18.0598,15.1523
85,Feb 2025,17.9786,18.7979,17.749,16.7733,19.2669,17.7545,17.978,16.8301,17.1375,17.7085,14.8892
86,Mar 2025,16.55,18.0931,16.4659,15.4188,17.9423,18.1605,16.5464,16.2995,16.5797,17.3366,13.2854
87,Apr 2025,16.6433,16.9237,16.5871,15.3905,18.2165,17.9158,16.6359,15.0341,14.948,16.7578,12.4287
88,May 2025,16.5804,16.5435,16.6587,15.2036,18.3098,17.8401,16.5829,14.6658,14.2819,16.1889,12.1963
89,Jun 2025,17.299,17.0079,17.4723,15.762,19.3065,18.3128,17.32,15.6068,14.4249,16.8815,13.698
90,Jul 2025,20.9944,20.7693,21.184,19.3433,23.1698,21.2441,21.0204,19.1511,17.9543,20.6796,18.9143
91,Aug 2025,21.8028,21.5058,22.0071,20.1471,24.0746,21.8911,21.8381,20.2303,18.6755,22.0817,19.383
92,Sep 2025,18.2335,18.4449,18.4796,16.5761,20.6138,19.4028,18.2729,16.418,15.4284,18.8433,15.5538
93,Oct 2025,16.9693,16.7412,16.8607,15.9905,17.9712,17.3089,16.9424,14.9274,15.4495,16.8351,12.9158
94,Nov 2025,16.4812,16.8607,16.3153,15.4121,17.6301,16.7486,16.4533,14.9215,15.5068,17.0332,13.3116
95,Dec 2025,18.3507,17.8637,18.1322,17.2369,19.5832,17.2456,18.3245,15.9847,16.5109,17.8895,14.7363
96,Jan 2026,18.3196,19.5189,18.0113,17.1453,19.4946,18.5773,18.2946,17.1404,17.9928,18.2325,15.2973
97,Feb 2026,18.1572,18.9846,17.9252,16.9399,19.4583,17.9309,18.1565,16.8769,17.3077,17.8843,15.037
98,Mar 2026,16.7325,18.2927,16.6474,15.5889,18.1402,18.3607,16.7289,16.4311,16.7625,17.5278,13.4319
99,Apr 2026,16.7986,17.0816,16.7419,15.5341,18.3864,18.083,16.7912,15.1058,15.0874,16.9142,12.5447
100,May 2026,16.7386,16.7013,16.8176,15.3486,18.4845,18.0102,16.7411,14.7418,14.4182,16.3433,12.3126
101,Jun 2026,17.4075,17.1147,17.5819,15.8609,19.4276,18.4277,17.4287,15.8059,14.5154,16.9875,13.784
102,Jul 2026,21.0585,20.8327,21.2486,19.4024,23.2406,21.3089,21.0846,19.2403,18.0091,20.7427,18.9721
103,Aug 2026,21.8732,21.5752,22.0782,20.2122,24.1523,21.9618,21.9086,20.5773,18.7358,22.153,19.4456
104,Sep 2026,18.292,18.5041,18.5389,16.6293,20.6799,19.465,18.3316,16.5137,15.4779,18.9038,15.6037
105,Oct 2026,17.0193,16.7904,16.9103,16.0376,18.0241,17.3598,16.9922,14.9532,15.4949,16.8846,12.9538
106,Nov 2026,16.5431,16.924,16.3765,15.4699,17.6963,16.8114,16.515,14.9667,15.565,17.0971,13.3615
107,Dec 2026,18.414,17.9253,18.1947,17.2964,19.6508,17.3051,18.3877,15.9717,16.5678,17.9512,14.7871
108,Jan 2027,18.8484,20.0824,18.5312,17.6402,20.0573,19.1136,18.8228,17.6353,18.5122,18.7589,15.7389
