,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,Power Forwards & Futures (Data),,,,
1,Source: OTC Global Holdings,,,,
2,Region: ERCOT,,,,
3,Forward Term: Monthly,,,,
4,Peak: Off Peak,,,,
5,As Of: 12/11/2013,,,,
6,As Of : 12/11/2013,,,,
7,Term,Houston Zone,North Zone,South Zone,West Zone
8,Dec 2013,26.92,24.9,24.67,24.51
9,Jan 2014,32.35,29.89,29.72,29.96
10,Feb 2014,32.29,29.34,29.18,29.36
11,Mar 2014,33.3,30.91,30.7,29.92
12,Apr 2014,35.13,31.99,32.74,30.09
13,May 2014,34.59,29.32,31.04,28.32
14,Jun 2014,37.93,35.33,35.13,34.84
15,Jul 2014,39.55,37.15,36.94,39.08
16,Aug 2014,47.48,48.34,46.75,48.33
17,Sep 2014,37.36,31.9,32.74,31.91
18,Oct 2014,35.6,29.16,30.85,28.31
19,Nov 2014,31.94,25.05,25.82,23.49
20,Dec 2014,31.46,25.66,25.65,31.1
21,Jan 2015,33.69,34.31,34.3,33.24
22,Feb 2015,33.63,32.24,32.19,32.05
23,Mar 2015,34.5,32.43,32.4,30.64
24,Apr 2015,34.67,33.96,35.62,31.18
25,May 2015,34.27,31.57,33.58,29.91
26,Jun 2015,36.78,36.45,36.97,35.85
27,Jul 2015,38.85,38.79,37.9,38.98
28,Aug 2015,46.46,44.44,43.08,43.63
29,Sep 2015,36.21,28.74,29.46,28.01
30,Oct 2015,33.59,23.65,25.01,22.34
31,Nov 2015,31.01,21.88,22.01,20.02
32,Dec 2015,30.21,20.59,20.59,24.06
33,Jan 2016,32.27,24.57,24.53,24.15
34,Feb 2016,32.28,24.18,24.12,23.96
35,Mar 2016,33.49,25.62,25.52,23.55
36,Apr 2016,34.43,26.42,27.78,24.2
37,May 2016,34.03,26.68,28.02,24.88
38,Jun 2016,37.16,33.51,33.4,32.27
39,Jul 2016,38.87,36.73,35.05,35.29
40,Aug 2016,46.76,46.62,44.88,44.58
41,Sep 2016,36.33,30.97,31.65,30.01
42,Oct 2016,33.82,25.94,25.16,22.02
43,Nov 2016,31.64,20.85,20.94,18.96
44,Dec 2016,30.99,19.62,19.58,23.25
45,Jan 2017,32.24,23.03,22.89,22.43
46,Feb 2017,32.31,22.63,22.48,22.18
47,Mar 2017,33.43,23.8,23.62,21.65
48,Apr 2017,34.32,25.18,26.42,22.83
49,May 2017,34.2,25.94,26.64,23.5
50,Jun 2017,35.07,30.74,30.03,28.81
51,Jul 2017,39.1,33.77,32.16,31.62
52,Aug 2017,46.88,44.87,42.4,41.39
53,Sep 2017,35.99,29.63,30.21,27.95
54,Oct 2017,33.83,25.28,23.43,20.9
55,Nov 2017,31.78,20.25,20.56,18.25
56,Dec 2017,31.69,19.5,19.38,22.68
57,Jan 2018,31.49,21.78,21.7,20.84
58,Feb 2018,31.27,21.42,21.31,20.95
59,Mar 2018,32.67,22.92,22.78,20.74
60,Apr 2018,33.49,24.24,25.51,21.92
61,May 2018,33.23,25.72,26.43,23.21
62,Jun 2018,32.75,28.87,28.25,26.32
63,Jul 2018,37.32,31.38,29.85,29.29
64,Aug 2018,45.55,41.64,40.04,38.34
65,Sep 2018,35.13,27.81,28.38,26.18
66,Oct 2018,33.26,24.9,23.7,21.17
67,Nov 2018,31.15,20.12,20.15,17.76
68,Dec 2018,30.9,18.95,18.88,22.03
69,Jan 2019,30.73,23.69,23.55,23.1
70,Feb 2019,30.53,23.36,22.75,22.36
71,Mar 2019,31.96,24.04,23.87,21.65
72,Apr 2019,32.78,25.24,25.99,22.2
73,May 2019,32.54,24.57,25.82,22.04
74,Jun 2019,32.09,26.91,26.33,24.33
75,Jul 2019,36.53,29.02,27.61,26.96
76,Aug 2019,44.58,40.4,38.22,37.12
77,Sep 2019,34.43,28.05,28.68,26.28
78,Oct 2019,32.6,26.28,24.84,22.23
79,Nov 2019,30.55,21.97,21.96,19.62
80,Dec 2019,30.32,21.21,20.66,21.41
81,Jan 2020,31.1,24.09,24,23.08
82,Feb 2020,29.64,22.81,22.23,21.92
83,Mar 2020,32.32,24.45,24.32,22.11
84,Apr 2020,33.19,25.07,26.4,22.61
85,May 2020,32.96,24.97,25.68,22.46
86,Jun 2020,32.48,27.29,26.77,24.8
87,Jul 2020,37.01,29.4,28.03,26.74
88,Aug 2020,45.18,41.21,39.08,37.33
89,Sep 2020,34.86,28.6,29.25,26.9
90,Oct 2020,33.03,27.34,27.38,26.06
91,Nov 2020,30.95,26.08,26,24.63
