date,price,Peak,Subregion
2010-12-01,24.56666666666667,ATC,Houston Zone
2010-12-02,24.228333333333335,ATC,Houston Zone
2010-12-03,25.019583333333333,ATC,Houston Zone
2010-12-04,23.7921875,ATC,Houston Zone
2010-12-05,25.658916666666663,ATC,Houston Zone
2010-12-06,29.205555555555552,ATC,Houston Zone
2010-12-07,30.253095238095234,ATC,Houston Zone
2010-12-08,29.971406249999998,ATC,Houston Zone
2010-12-09,30.11967592592592,ATC,Houston Zone
2010-12-10,32.81920833333333,ATC,Houston Zone
2010-12-11,31.54768939393939,ATC,Houston Zone
2010-12-12,31.187152777777772,ATC,Houston Zone
2010-12-13,31.67653846153846,ATC,Houston Zone
2010-12-14,31.403065476190474,ATC,Houston Zone
2010-12-15,31.473611111111108,ATC,Houston Zone
2010-12-16,31.769869791666665,ATC,Houston Zone
2010-12-17,31.967671568627452,ATC,Houston Zone
2010-12-18,31.899629629629633,ATC,Houston Zone
2010-12-19,31.517565789473686,ATC,Houston Zone
2010-12-20,31.059291666666667,ATC,Houston Zone
2010-12-21,30.80746031746032,ATC,Houston Zone
2010-12-22,30.580871212121213,ATC,Houston Zone
2010-12-23,30.531413043478263,ATC,Houston Zone
2010-12-24,30.314878472222222,ATC,Houston Zone
2010-12-25,30.104633333333336,ATC,Houston Zone
2010-12-26,30.3211858974359,ATC,Houston Zone
2010-12-27,30.233009259259262,ATC,Houston Zone
2010-12-28,29.987470238095245,ATC,Houston Zone
2010-12-29,29.755445402298854,ATC,Houston Zone
2010-12-30,29.48905555555556,ATC,Houston Zone
2010-12-31,29.465722222222222,ATC,Houston Zone
2011-01-01,29.625819444444446,ATC,Houston Zone
2011-01-02,29.772805555555557,ATC,Houston Zone
2011-01-03,29.92936111111111,ATC,Houston Zone
2011-01-04,29.773541666666667,ATC,Houston Zone
2011-01-05,30.059305555555554,ATC,Houston Zone
2011-01-06,31.285902777777775,ATC,Houston Zone
2011-01-07,32.79861111111111,ATC,Houston Zone
2011-01-08,32.61693055555555,ATC,Houston Zone
2011-01-09,31.557263888888883,ATC,Houston Zone
2011-01-10,31.984902777777773,ATC,Houston Zone
2011-01-11,32.220097222222215,ATC,Houston Zone
2011-01-12,32.15420833333333,ATC,Houston Zone
2011-01-13,32.360569444444444,ATC,Houston Zone
2011-01-14,32.360083333333336,ATC,Houston Zone
2011-01-15,32.26488888888889,ATC,Houston Zone
2011-01-16,32.270805555555555,ATC,Houston Zone
2011-01-17,32.214958333333335,ATC,Houston Zone
2011-01-18,32.21779166666667,ATC,Houston Zone
2011-01-19,32.321125,ATC,Houston Zone
2011-01-20,32.523180555555555,ATC,Houston Zone
2011-01-21,32.902319444444444,ATC,Houston Zone
2011-01-22,33.108375,ATC,Houston Zone
2011-01-23,33.128375,ATC,Houston Zone
2011-01-24,33.36298611111111,ATC,Houston Zone
2011-01-25,33.150041666666674,ATC,Houston Zone
2011-01-26,33.238347222222224,ATC,Houston Zone
2011-01-27,34.57433333333334,ATC,Houston Zone
2011-01-28,34.62634722222223,ATC,Houston Zone
2011-01-29,34.61309722222223,ATC,Houston Zone
2011-01-30,34.53084722222223,ATC,Houston Zone
2011-01-31,34.41023611111112,ATC,Houston Zone
2011-02-01,34.15993055555556,ATC,Houston Zone
2011-02-02,59.18629166666667,ATC,Houston Zone
2011-02-03,59.972125000000005,ATC,Houston Zone
2011-02-04,60.12891666666667,ATC,Houston Zone
2011-02-05,58.820166666666665,ATC,Houston Zone
2011-02-06,57.11694444444444,ATC,Houston Zone
2011-02-07,56.96137499999999,ATC,Houston Zone
2011-02-08,57.14681944444443,ATC,Houston Zone
2011-02-09,56.89020833333333,ATC,Houston Zone
2011-02-10,56.880986111111106,ATC,Houston Zone
2011-02-11,56.64218055555555,ATC,Houston Zone
2011-02-12,56.38134722222221,ATC,Houston Zone
2011-02-13,56.05054166666665,ATC,Houston Zone
2011-02-14,55.67912499999999,ATC,Houston Zone
2011-02-15,55.37281944444444,ATC,Houston Zone
2011-02-16,55.26512499999999,ATC,Houston Zone
2011-02-17,55.10812499999999,ATC,Houston Zone
2011-02-18,55.08504166666665,ATC,Houston Zone
2011-02-19,54.820291666666655,ATC,Houston Zone
2011-02-20,54.13737499999999,ATC,Houston Zone
2011-02-21,53.72644444444443,ATC,Houston Zone
2011-02-22,54.52252777777777,ATC,Houston Zone
2011-02-23,54.1861111111111,ATC,Houston Zone
2011-02-24,53.94427777777777,ATC,Houston Zone
2011-02-25,53.87762499999999,ATC,Houston Zone
